"cmdName","Description","Link","Authors","Letter"
"barplot2","stata module to produce bar plot with optional error bars","https://econpapers.repec.org/software/bocbocode/s355101.htm","`Nicholas Cox`","B"
"barplot","stata module to plot varlist against xvar","https://econpapers.repec.org/software/bocbocode/s338801.htm","`Nicholas Cox`","B"
"basetable","stata module to compare a set of risk factors or effects with respect to a categorical variable","https://econpapers.repec.org/software/bocbocode/s458012.htm","`Niels Henrik Bruun`","B"
"batcher","stata module to parallelize tasks (windows only)","https://econpapers.repec.org/software/bocbocode/s458681.htm","`Jesse Wursten`","B"
"batplot","stata module to produce bland-altman plots accounting for trend","https://econpapers.repec.org/software/bocbocode/s448703.htm","`Adrian Mander`","B"
"bayerhanck","stata module to compute test for non-cointegration","https://econpapers.repec.org/software/bocbocode/s457061.htm","`Christian Bayer`,` Christoph Hanck`","B"
"bayesmixedlogit","stata module to perform bayesian estimation of mixed logit models","https://econpapers.repec.org/software/bocbocode/s457620.htm","`Matthew Baker`","B"
"bayesmixedlogitwtp","stata module for bayesian estimation of mixed logit model in willingness-to-pay (wtp) space","https://econpapers.repec.org/software/bocbocode/s458044.htm","`Matthew Baker`","B"
"bayestst","rats procedure to perform bayesian unit root test","https://econpapers.repec.org/software/bocbocode/rts00014.htm","`Tom Doan`","B"
"bcii","stata module to to estimate the number needed to treat (nnt) and confidence intervals for patients improving, or ‘benefiting’ (either improvements gained or deteriorations prevented), in a randomised controlled trial","https://econpapers.repec.org/software/bocbocode/s457053.htm","`Robert Froud`","B"
"bcoeff","stata module to save regression coefficients to new variable","https://econpapers.repec.org/software/bocbocode/s412201.htm","`Zhiqiang Wang`,` Nicholas Cox`","B"
"bcoeffs","stata module to save regression coefficients to new variable","https://econpapers.repec.org/software/bocbocode/s458018.htm","`Hejun Liu`","B"
"bcss","stata module to create graphs to show how baseline data (prospective or retrospective) affect sample size for a cluster randomised trial","https://econpapers.repec.org/software/bocbocode/s458709.htm","`Ella Marley`-`Zagar`","B"
"bcstats","stata module to analyze back check (field audit) data and compare it to the original survey data","https://econpapers.repec.org/software/bocbocode/s458173.htm","`Matthew White`","B"
"bctobit","stata module to produce a test of the tobit specification","https://econpapers.repec.org/software/bocbocode/s457163.htm","`David Vncent`","B"
"bcuse","stata module to access instructional datasets on boston college server","https://econpapers.repec.org/software/bocbocode/s457508.htm","`Christopher Baum`","B"
"bdiff","stata module to compute bootstrap and permutation tests for difference in coefficients between two groups","https://econpapers.repec.org/software/bocbocode/s458202.htm","`Yujun Lian`","B"
"bdindtest","rats procedure to perform battery of independence tests","https://econpapers.repec.org/software/bocbocode/rts00015.htm","`Tom Doan`","B"
"bds","matlab module to calculate brock, dechert & scheinkman test for independence","https://econpapers.repec.org/software/bocbocode/t871803.htm","`Ludwig Kanzler`","B"
"bdssig","matlab module to calculate brock, dechert & scheinkman test significance","https://econpapers.repec.org/software/bocbocode/t891501.htm","`Ludwig Kanzler`","B"
